Territorio,Tipo de territorio,Nacionalidad (España/UE/Resto extranjero),01 ene 1997,01 ene 1998,01 ene 1999,01 ene 2000,01 ene 2001,01 ene 2002,01 ene 2003,01 ene 2004,01 ene 2005,01 ene 2006,01 ene 2007,01 ene 2008,01 ene 2009,01 ene 2010,01 ene 2011,01 ene 2012,01 ene 2013,01 ene 2014,01 ene 2015,01 ene 2016,01 ene 2017,01 ene 2018,01 ene 2019,01 ene 2020,01 ene 2021,01 ene 2022,01 ene 2023,01 ene 2024,01 ene 2025
Sants-Montjuïc,Districte,Resto de la Unión Europea,449,541,636,737,907,1257,1726,2256,2954,3613,5377,6710,7332,7552,7020,7386,7927,8166,8336,8532,9184,9646,10938,11635,11206,11453,11262,11987,12755
Sants-Montjuïc,Districte,Resto del mundo,2167,2839,3402,4315,7546,12867,18629,21983,24888,27768,25028,27529,29633,28683,29117,29866,28752,26891,25101,25338,26697,27367,30339,33001,34415,32485,35444,39716,42922
Sants-Montjuïc,Districte,No consta,9,10,13,19,23,115,112,44,44,48,43,42,22,10,17,12,14,13,18,13,14,19,20,17,17,16,36,42,43
el Poble-sec,Barri,España,33022,33169,32906,32287,31597,31560,30897,30419,29828,29708,29486,29256,29061,29069,28887,28791,28429,28226,28502,28364,27994,27371,26961,26347,25993,25612,25344,25210,25332
el Poble-sec,Barri,Resto de la Unión Europea,106,143,177,209,271,399,531,713,1027,1328,1781,2139,2333,2483,2406,2653,2907,3057,3157,3257,3524,3636,4184,4439,4189,4231,4096,4315,4542
el Poble-sec,Barri,Resto del mundo,650,907,1191,1499,2646,4567,6730,7656,8533,9277,8179,8934,9283,8834,9243,9807,9663,9000,8561,8507,8865,8786,9284,9399,10019,9296,9332,9643,10420
el Poble-sec,Barri,No consta,-,-,-,-,-,51,46,5,6,6,7,5,-,-,-,-,-,-,-,-,-,8,11,-,-,-,6,9,6
la Marina del Prat Vermell,Barri,España,1799,1754,1834,1779,1737,1621,1496,1397,1244,1176,1132,1104,1069,1050,1025,1057,1062,1027,1024,1059,1055,1055,1068,1060,1158,1298,1387,1513,2149
la Marina del Prat Vermell,Barri,Resto de la Unión Europea,-,-,-,-,6,5,6,6,5,-,5,9,5,-,6,5,12,16,13,8,9,11,12,13,28,41,86,129,214
la Marina del Prat Vermell,Barri,Resto del mundo,8,7,15,22,21,42,40,53,58,69,68,77,81,82,88,88,98,100,85,79,87,95,119,154,170,178,205,335,513
la Marina del Prat Vermell,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Marina de Port,Barri,España,26816,27107,26959,26906,26845,26819,26542,26266,26121,25938,25770,25584,25645,25802,25972,26148,26098,26041,26312,26395,26325,26096,25871,25797,25518,25144,24880,24805,24805
la Marina de Port,Barri,Resto de la Unión Europea,47,52,60,69,86,125,169,219,262,285,500,641,688,672,638,645,657,669,696,680,721,785,842,892,886,903,907,973,997
la Marina de Port,Barri,Resto del mundo,221,254,309,408,693,1148,1814,2322,2837,3355,3155,3486,3800,3632,3626,3651,3521,3340,3228,3321,3574,3869,4374,4661,4687,4379,4649,5181,5843
la Marina de Port,Barri,No consta,-,-,-,-,-,11,11,6,-,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Font de la Guatlla,Barri,España,8887,9104,9174,9083,8983,9025,8909,8739,8606,8462,8367,8308,8307,8380,8348,8378,8370,8404,8464,8414,8401,8320,8167,8112,7933,7904,7836,7877,7854
la Font de la Guatlla,Barri,Resto de la Unión Europea,37,36,39,40,53,80,119,160,198,224,321,430,479,502,479,505,566,600,625,614,637,640,731,714,661,682,676,710,753
la Font de la Guatlla,Barri,Resto del mundo,114,137,165,226,364,621,840,1027,1309,1469,1441,1333,1430,1399,1387,1391,1375,1306,1282,1287,1383,1346,1474,1551,1645,1771,1980,2105,2250
la Font de la Guatlla,Barri,No consta,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-
Hostafrancs,Barri,España,14324,14389,14226,14037,13689,13454,13216,13111,12837,12868,12762,12709,12573,12577,12548,12434,12429,12332,12546,12593,12423,12253,12135,12005,11796,11615,11595,11548,11506
Hostafrancs,Barri,Resto de la Unión Europea,55,66,77,88,104,148,181,248,325,384,594,759,788,767,688,729,741,825,881,915,973,1054,1189,1277,1210,1253,1227,1277,1360
Hostafrancs,Barri,Resto del mundo,273,348,358,411,670,1138,1809,2087,2309,2589,2251,2469,2651,2617,2618,2876,2808,2512,2331,2407,2553,2661,2829,2916,3090,2990,3143,3364,3931
Hostafrancs,Barri,No consta,-,-,-,-,-,9,6,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,-,-,-
la Bordeta,Barri,España,17048,17280,17255,17287,17312,17350,17055,16857,16592,16321,16278,16162,16153,16055,15942,15991,15997,15956,16162,16211,16121,16305,16507,16478,16317,16271,16219,16249,16355
la Bordeta,Barri,Resto de la Unión Europea,38,39,53,61,65,84,134,169,210,262,396,470,498,514,448,440,511,505,499,517,542,592,679,731,745,758,812,908,985
la Bordeta,Barri,Resto del mundo,202,249,281,325,617,987,1355,1731,1864,2126,1974,2088,2187,2076,2101,2173,2072,1934,1718,1788,1896,1933,2255,2357,2388,2196,2691,3232,3895
la Bordeta,Barri,No consta,-,-,5,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,6,-,7
Sants - Badal,Barri,España,23334,23385,23239,22790,22325,22214,21758,21258,20892,20757,20435,20271,20099,20168,20140,20096,20015,19979,20180,20040,19928,19787,19806,19714,19615,19191,19081,19211,19241
Sants - Badal,Barri,Resto de la Unión Europea,55,66,81,84,104,135,191,242,305,372,624,738,806,806,707,747,770,759,732,764,818,864,963,1060,1022,1021,948,1014,1088
Sants - Badal,Barri,Resto del mundo,265,349,418,569,1043,1743,2382,2798,3049,3399,3053,3249,3360,3372,3491,3746,3568,3384,3100,3128,3299,3365,3703,4161,4263,3994,4336,4704,5001
Sants - Badal,Barri,No consta,-,-,-,-,-,11,20,15,18,17,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
Sants,Barri,España,37761,37724,37375,36867,36443,36151,35556,34709,34242,34011,33722,33598,33623,33631,33717,33811,33648,33798,34168,34228,34239,33991,33669,33449,33058,32781,32879,33233,33338
Sants,Barri,Resto de la Unión Europea,109,137,146,182,218,281,395,499,622,755,1156,1524,1735,1805,1648,1662,1763,1735,1733,1777,1960,2064,2338,2509,2465,2564,2510,2661,2816
Sants,Barri,Resto del mundo,434,588,665,855,1492,2621,3659,4309,4929,5484,4907,5893,6841,6671,6563,6134,5647,5315,4796,4821,5040,5312,6301,7802,8153,7681,9108,11152,11069
Sants,Barri,No consta,-,-,-,6,6,16,18,13,12,14,14,14,8,-,-,-,-,-,6,5,5,-,-,-,-,-,11,17,16
Les Corts,Districte,España,79597,80431,80122,79918,78990,78440,77196,75782,74519,73629,72946,72639,72235,72169,72059,72154,71966,71862,72539,72580,72274,71835,71353,70659,69499,69119,68582,68380,68420
Les Corts,Districte,Resto de la Unión Europea,718,800,885,978,1064,1378,1688,1922,2203,2395,2926,3263,3552,3367,3067,3200,3283,3232,3131,3180,3309,3399,3645,3816,3526,3706,3912,4260,4461
Les Corts,Districte,Resto del mundo,916,1118,1264,1533,2198,3164,4519,5265,5999,6618,5486,6329,7386,7200,7201,6998,6453,6093,5849,5940,6606,6935,7582,8147,8538,8243,9643,10896,11499
Les Corts,Districte,No consta,11,14,15,14,17,42,42,26,27,30,21,14,10,14,10,5,9,9,10,8,12,13,11,13,13,6,17,15,13
les Corts,Barri,España,45113,45678,45569,45375,44863,44539,43719,42853,42195,42005,41656,41639,41347,41232,41184,41186,41057,40986,41256,41192,41000,40780,40607,40268,39474,39313,38799,38627,38614
les Corts,Barri,Resto de la Unión Europea,311,346,404,437,479,597,733,857,998,1092,1381,1603,1775,1650,1546,1605,1621,1639,1562,1588,1620,1715,1847,1916,1839,1926,2050,2239,2314
les Corts,Barri,Resto del mundo,451,561,627,746,1113,1582,2332,2761,3208,3591,2920,3680,4491,4432,4365,4026,3541,3360,3177,3190,3477,3649,4136,4536,4619,4416,5106,5861,6117
les Corts,Barri,No consta,7,10,11,10,13,21,20,12,13,10,8,6,5,5,-,-,-,-,8,6,7,8,9,11,11,5,10,13,12
la Maternitat i Sant Ramon,Barri,España,24089,24157,24028,24004,23712,23410,23138,22740,22249,21764,21517,21287,21183,21138,21067,21111,21019,21033,21318,21375,21275,21147,20934,20689,20418,20171,20060,19982,19980
la Maternitat i Sant Ramon,Barri,Resto de la Unión Europea,131,149,160,175,182,251,349,405,446,496,663,704,763,738,637,647,661,642,668,663,702,748,832,911,840,919,977,1041,1147
la Maternitat i Sant Ramon,Barri,Resto del mundo,234,275,322,406,628,1007,1437,1648,1870,2014,1728,1792,1986,1884,1901,2028,1992,1877,1824,1830,2003,2088,2225,2366,2565,2593,3015,3288,3559
la Maternitat i Sant Ramon,Barri,No consta,-,-,-,-,-,13,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-
Pedralbes,Barri,España,10395,10596,10525,10539,10415,10491,10339,10189,10075,9860,9773,9713,9705,9799,9808,9857,9890,9843,9965,10013,9999,9908,9812,9702,9607,9635,9723,9771,9826
Pedralbes,Barri,Resto de la Unión Europea,276,305,321,366,403,530,606,660,759,807,882,956,1014,979,884,948,1001,951,901,929,987,936,966,989,847,861,885,980,1000
Pedralbes,Barri,Resto del mundo,231,282,315,381,457,575,750,856,921,1013,838,857,909,884,935,944,920,856,848,920,1126,1198,1221,1245,1354,1234,1522,1747,1823
Pedralbes,Barri,No consta,-,-,-,-,-,8,8,11,11,16,9,6,-,7,5,-,5,-,-,-,5,-,-,-,-,-,-,-,-
Sarrià-Sant Gervasi,Districte,España,124985,126836,127245,127465,127178,129373,128330,126831,126303,125714,125857,125875,125971,126990,127720,128640,128949,129091,130405,131487,131538,131233,130245,129705,127469,126282,125253,124791,125037
Sarrià-Sant Gervasi,Districte,Resto de la Unión Europea,1865,2068,2207,2307,2562,3298,3895,4492,5099,5617,6660,7350,7703,7397,6707,6921,7335,7563,7504,7699,8181,8339,9189,9517,8765,9338,9792,10385,11006
Sarrià-Sant Gervasi,Districte,Resto del mundo,1668,1862,2107,2459,3321,5012,7102,8397,9545,10203,8320,9185,10731,10082,9915,9691,9204,9099,8921,8962,9986,10241,10994,11923,12955,12570,14730,16685,17606
Sarrià-Sant Gervasi,Districte,No consta,-,-,5,10,14,75,78,29,30,40,45,51,26,16,13,17,27,20,18,24,29,24,18,12,12,11,29,29,24
"Vallvidrera, el Tibidabo i les Planes",Barri,España,2927,3057,2985,3053,3070,3207,3277,3314,3358,3434,3520,3620,3800,3801,3847,3896,3900,3921,3996,4024,4020,4025,3981,3976,4015,4034,4028,4013,4025
"Vallvidrera, el Tibidabo i les Planes",Barri,Resto de la Unión Europea,72,72,90,96,111,133,142,177,191,221,263,292,297,276,262,298,331,370,391,401,421,455,495,470,428,451,438,463,478
"Vallvidrera, el Tibidabo i les Planes",Barri,Resto del mundo,34,42,42,50,63,85,143,180,190,223,157,170,190,188,179,213,212,225,217,216,248,230,251,264,317,320,365,424,458
"Vallvidrera, el Tibidabo i les Planes",Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sarrià,Barri,España,20015,20454,20611,20612,20494,20828,20832,20695,20715,20546,20504,20607,20686,20969,21225,21419,21498,21567,21767,21873,21925,21770,21520,21515,21002,20904,20818,20736,20758
Sarrià,Barri,Resto de la Unión Europea,320,384,445,476,541,659,775,920,1024,1081,1278,1414,1512,1466,1367,1476,1620,1638,1609,1639,1694,1732,1882,1941,1737,1822,1837,1941,2037
Sarrià,Barri,Resto del mundo,224,276,360,467,591,897,1223,1439,1633,1698,1333,1347,1414,1323,1323,1381,1384,1322,1260,1291,1477,1605,1728,1783,2027,1901,2196,2433,2484
Sarrià,Barri,No consta,-,-,-,-,-,22,21,8,7,5,-,-,-,5,5,-,8,-,-,7,10,9,7,-,-,5,7,-,-
les Tres Torres,Barri,España,12826,13082,13262,13308,13488,13987,14032,13941,13911,13767,13848,13884,13940,14222,14287,14436,14508,14562,14810,15053,15121,15120,14986,14886,14559,14326,14247,14187,14053
