Territorio,Tipo de territorio,Nacionalidad (España/UE/Resto extranjero),01 ene 1997,01 ene 1998,01 ene 1999,01 ene 2000,01 ene 2001,01 ene 2002,01 ene 2003,01 ene 2004,01 ene 2005,01 ene 2006,01 ene 2007,01 ene 2008,01 ene 2009,01 ene 2010,01 ene 2011,01 ene 2012,01 ene 2013,01 ene 2014,01 ene 2015,01 ene 2016,01 ene 2017,01 ene 2018,01 ene 2019,01 ene 2020,01 ene 2021,01 ene 2022,01 ene 2023,01 ene 2024,01 ene 2025
Horta-Guinardó,Districte,España,166711,166931,165377,163358,161216,160900,158194,155359,152987,150913,149229,148196,147730,147703,147269,146918,146139,146217,147318,147814,147755,147206,146423,145647,143951,142853,142699,143194,143772
Horta-Guinardó,Districte,Resto de la Unión Europea,446,466,512,578,687,975,1228,1579,2061,2395,3525,4255,4744,4810,4479,4581,4821,4876,4916,5040,5333,5776,6498,7053,6884,7064,7070,7739,8296
Horta-Guinardó,Districte,Resto del mundo,1117,1413,1734,2141,4156,7408,10637,12644,14433,16029,14976,17214,18874,18237,18012,17479,16833,15822,14288,14529,15884,17064,19333,21889,23098,22179,25769,29191,30924
Horta-Guinardó,Districte,No consta,-,-,5,9,16,90,87,19,21,23,11,15,11,7,-,6,7,9,8,7,9,7,12,9,11,13,12,14,17
el Baix Guinardó,Barri,España,24711,24701,24509,24143,23825,23811,23365,22929,22625,22620,22542,22436,22312,22332,22358,22325,22123,22162,22226,22246,22249,22101,22023,21925,21386,21018,20851,20886,20855
el Baix Guinardó,Barri,Resto de la Unión Europea,88,89,96,115,139,194,255,335,468,528,756,869,957,950,875,886,907,962,1032,1065,1115,1200,1312,1377,1362,1494,1509,1681,1763
el Baix Guinardó,Barri,Resto del mundo,228,315,373,498,874,1433,1872,2212,2384,2703,2439,2690,2840,2734,2766,2694,2616,2410,2214,2251,2369,2490,2652,2876,3091,3075,3357,3709,3912
el Baix Guinardó,Barri,No consta,-,-,-,5,9,17,20,-,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
Can Baró,Barri,España,8767,8951,8829,8703,8593,8639,8466,8271,8113,8040,7988,7956,7917,7867,7783,7762,7707,7664,7667,7806,7751,7760,7719,7661,7605,7566,7526,7577,7548
Can Baró,Barri,Resto de la Unión Europea,29,29,33,40,53,68,78,103,145,170,243,275,322,364,309,346,360,372,365,382,421,436,501,563,555,563,535,566,615
Can Baró,Barri,Resto del mundo,72,88,91,115,202,337,526,588,718,731,700,844,921,893,833,894,906,823,790,779,846,873,1025,1105,1159,1141,1359,1381,1508
Can Baró,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
el Guinardó,Barri,España,34152,34103,33832,33360,33091,33047,32494,31933,31610,31090,30703,30387,30364,30466,30564,30525,30448,30593,31167,31437,31477,31459,31216,31110,30730,30520,30475,30417,30675
el Guinardó,Barri,Resto de la Unión Europea,127,136,148,160,193,268,349,433,546,622,856,996,1112,1163,1070,1109,1193,1176,1200,1270,1364,1531,1746,1875,1800,1853,1872,2037,2197
el Guinardó,Barri,Resto del mundo,272,344,459,527,996,1698,2449,2836,3183,3649,3480,3780,4138,4038,4057,4019,4068,3768,3416,3468,3695,3899,4252,4597,4791,4617,5224,5696,6185
el Guinardó,Barri,No consta,-,-,-,-,-,16,14,-,5,9,5,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Font d'en Fargues,Barri,España,9761,9801,9773,9705,9625,9579,9499,9388,9319,9104,9139,9124,9059,8968,8934,8929,8906,8875,8887,8918,8849,8821,8814,8725,8652,8700,8785,8792,8781
la Font d'en Fargues,Barri,Resto de la Unión Europea,34,38,38,35,41,51,59,76,95,107,163,190,219,230,212,222,217,195,187,177,190,236,275,313,295,289,311,338,348
la Font d'en Fargues,Barri,Resto del mundo,15,20,32,44,81,144,203,251,296,359,297,349,387,382,375,409,376,367,325,307,351,389,417,506,558,538,613,707,823
la Font d'en Fargues,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
el Carmel,Barri,España,33580,33596,33046,32404,31780,31511,30800,30062,29346,28808,28222,27792,27789,27732,27603,27522,27394,27348,27538,27381,27244,27060,26790,26469,26248,25984,25842,25870,25939
el Carmel,Barri,Resto de la Unión Europea,45,48,64,76,83,117,143,175,238,282,510,645,737,734,711,721,761,776,767,790,830,889,1019,1149,1136,1121,1110,1193,1263
el Carmel,Barri,Resto del mundo,196,216,261,323,677,1450,2139,2664,3091,3519,3546,3826,4089,3871,3770,3743,3642,3531,3142,3205,3508,3883,4366,4894,5340,5013,5557,5971,6488
el Carmel,Barri,No consta,-,-,-,-,-,19,19,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Teixonera,Barri,España,11221,11232,11192,11162,11041,11107,10850,10686,10525,10307,10209,10160,10019,9996,10032,10001,9940,9938,9993,9912,10054,10003,9906,9786,9837,9770,9743,9818,9772
la Teixonera,Barri,Resto de la Unión Europea,18,19,24,25,32,41,61,85,121,139,260,324,356,349,316,330,342,340,333,309,303,338,395,426,426,422,426,486,514
la Teixonera,Barri,Resto del mundo,97,128,161,180,405,680,1040,1255,1436,1480,1279,1454,1530,1482,1440,1438,1376,1155,1033,1059,1276,1308,1486,1714,1780,1725,1917,2128,2319
la Teixonera,Barri,No consta,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Genís dels Agudells,Barri,España,7110,7087,7014,6951,6797,6818,6689,6520,6396,6321,6223,6146,6152,6188,6104,6077,6008,6033,6013,5945,5936,5979,5999,5978,5921,5865,5867,5990,6014
Sant Genís dels Agudells,Barri,Resto de la Unión Europea,31,28,27,30,38,60,72,81,94,115,146,170,195,175,154,146,167,163,148,158,179,194,203,231,240,233,237,275,292
Sant Genís dels Agudells,Barri,Resto del mundo,65,72,80,87,159,306,452,535,642,700,660,775,827,758,726,725,727,656,560,591,712,838,1044,1181,1223,1163,1281,1501,1519
Sant Genís dels Agudells,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montbau,Barri,España,5251,5239,5128,5034,4951,4987,4903,4812,4751,4697,4608,4647,4673,4714,4633,4570,4535,4497,4525,4553,4520,4456,4420,4367,4287,4197,4225,4226,4191
Montbau,Barri,Resto de la Unión Europea,8,8,8,10,12,22,16,25,36,53,58,74,86,87,91,97,105,100,98,94,120,122,155,180,179,198,181,196,213
Montbau,Barri,Resto del mundo,22,27,37,56,132,242,420,472,497,520,445,461,465,448,489,468,469,448,418,406,468,521,551,625,648,619,768,864,939
Montbau,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Vall d'Hebron,Barri,España,5373,5407,5428,5422,5328,5267,5201,5143,5062,4978,4882,4926,4953,5037,5027,5019,4954,4974,5019,5218,5262,5204,5253,5275,5282,5246,5214,5184,5224
la Vall d'Hebron,Barri,Resto de la Unión Europea,19,24,19,20,23,36,39,54,74,90,124,150,147,154,146,146,139,139,137,153,160,155,166,169,170,177,166,164,190
la Vall d'Hebron,Barri,Resto del mundo,54,74,73,101,157,306,443,513,554,596,433,483,446,414,391,402,397,377,311,316,370,378,384,442,480,446,494,541,576
la Vall d'Hebron,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Clota,Barri,España,443,450,453,446,434,420,416,414,421,414,387,386,370,365,359,347,338,416,452,513,546,575,591,600,590,576,597,730,892
la Clota,Barri,Resto de la Unión Europea,-,-,-,-,-,-,-,-,-,6,10,11,12,12,12,8,11,8,9,8,9,10,13,28,29,23,20,16,34
la Clota,Barri,Resto del mundo,-,11,14,13,20,33,46,47,52,66,60,58,82,76,93,97,90,97,81,69,56,72,82,81,79,70,82,95,145
Horta,Barri,España,26342,26364,26173,26028,25751,25714,25511,25201,24819,24534,24326,24236,24122,24038,23872,23841,23786,23717,23831,23885,23867,23788,23692,23751,23413,23411,23574,23704,23881
Horta,Barri,Resto de la Unión Europea,47,47,55,67,73,118,155,211,241,283,399,551,601,592,583,570,619,645,640,634,642,665,713,742,692,691,703,787,867
Horta,Barri,Resto del mundo,92,118,153,197,453,779,1047,1271,1580,1706,1637,2494,3149,3141,3072,2590,2166,2190,1998,2078,2233,2413,3074,3868,3949,3772,5117,6598,6510
Horta,Barri,No consta,-,-,-,-,-,19,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nou Barris,Districte,España,167864,167675,165224,162612,159359,157407,153771,150404,147001,144082,142341,140991,140170,139742,139282,138976,138630,138828,140564,140563,140361,139773,139261,138670,137326,136641,136750,138265,139451
Nou Barris,Districte,Resto de la Unión Europea,259,276,289,321,343,489,637,779,1009,1173,2171,2788,2964,2866,2771,2790,2762,2852,2776,2795,2949,3128,3518,3718,3628,3632,3676,3921,4263
Nou Barris,Districte,Resto del mundo,868,1125,1528,2156,4608,8306,12117,15385,17978,20960,21059,24250,26672,25462,25561,25562,24410,22825,21289,21606,23489,25418,28504,31618,32590,30446,33768,37389,39024
Nou Barris,Districte,No consta,6,-,6,6,6,59,62,20,21,22,17,17,10,10,7,6,7,9,8,7,6,8,7,6,8,17,21,15,17
Vilapicina i la Torre Llobeta,Barri,España,24674,24677,24664,24443,24234,24239,23857,23408,23078,22773,22567,22496,22366,22296,22060,22158,22126,22145,22361,22365,22254,22141,21972,21902,21659,21610,21438,21499,21537
Vilapicina i la Torre Llobeta,Barri,Resto de la Unión Europea,48,48,50,57,71,115,148,173,217,254,416,493,516,474,417,438,451,491,509,494,527,574,638,677,663,690,673,734,804
Vilapicina i la Torre Llobeta,Barri,Resto del mundo,143,205,246,333,690,1316,1856,2175,2418,2695,2575,2767,3042,2864,2942,2922,2970,2693,2572,2661,2835,2957,3282,3502,3551,3364,3805,4057,4203
Vilapicina i la Torre Llobeta,Barri,No consta,-,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Porta,Barri,España,23953,23897,23731,23400,22971,22784,22240,21642,21192,20827,20875,20778,20667,20644,20692,20715,20585,20702,21045,21243,21292,21287,21204,21131,20834,20778,21069,21505,21565
Porta,Barri,Resto de la Unión Europea,45,57,58,72,66,78,104,127,173,202,287,432,482,442,446,400,397,430,379,426,460,510,615,635,636,636,661,696,713
Porta,Barri,Resto del mundo,162,187,219,300,759,1199,1443,1779,1936,2277,2341,3175,4183,4080,3947,3698,3369,3201,2873,2896,3292,3770,4736,6046,6325,5979,7245,9125,9081
Porta,Barri,No consta,-,-,-,-,-,12,15,7,7,9,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
el Turó de la Peira,Barri,España,14712,14571,14239,13965,13661,13400,12970,12738,12474,12072,11891,11779,11719,11792,11904,11857,11862,11951,12225,12269,12231,12172,12133,12203,12083,12117,12209,12462,12679
el Turó de la Peira,Barri,Resto de la Unión Europea,20,24,22,26,29,43,56,89,105,115,187,218,245,237,228,242,254,240,237,230,242,274,300,321,297,306,331,367,427
el Turó de la Peira,Barri,Resto del mundo,106,145,322,479,798,1221,1768,2196,2631,2976,2965,3186,3375,3310,3293,3470,3316,3159,2866,2834,2992,3128,3349,3703,3803,3599,3751,3987,4345
el Turó de la Peira,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Can Peguera,Barri,España,2256,2307,2258,2211,2154,2114,2077,2056,2057,2060,2057,2070,2079,2132,2142,2127,2109,2122,2113,2095,2096,2065,2045,2015,1968,1963,1971,1963,1935
Can Peguera,Barri,Resto de la Unión Europea,-,-,-,-,-,-,-,-,-,-,14,12,16,20,23,22,19,25,32,27,27,24,26,26,25,29,21,28,31
Can Peguera,Barri,Resto del mundo,18,24,28,33,31,36,48,49,62,66,67,63,66,63,75,89,101,114,130,133,150,181,218,233,222,195,178,189,204
la Guineueta,Barri,España,17081,16931,16680,16338,15975,15567,15236,15214,14913,14711,14571,14350,14225,14127,14028,13966,13953,13922,14033,13954,14034,14029,13917,13777,13526,13445,13440,13450,13512
la Guineueta,Barri,Resto de la Unión Europea,19,24,25,28,27,35,61,74,99,110,191,218,227,244,223,220,226,218,217,237,249,250,273,290,267,267,263,286,296
la Guineueta,Barri,Resto del mundo,54,74,90,130,263,447,670,789,850,873,763,859,910,928,1012,996,947,917,847,859,964,1014,1208,1353,1474,1340,1557,1636,1847
la Guineueta,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-
Canyelles,Barri,España,8719,8656,8471,8346,8103,8059,7843,7651,7450,7267,7135,7060,7025,6965,6872,6804,6742,6648,6673,6628,6560,6562,6477,6408,6364,6301,6252,6211,6208
Canyelles,Barri,Resto de la Unión Europea,11,12,10,10,9,14,22,25,28,35,47,53,53,54,59,56,65,72,58,50,50,52,63,74,72,73,66,59,56
Canyelles,Barri,Resto del mundo,14,19,22,29,47,111,186,198,244,292,329,358,362,286,308,333,301,260,221,247,253,271,344,387,377,413,467,526,552
Canyelles,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
les Roquetes,Barri,España,15508,15521,15192,14913,14553,14538,14201,13867,13453,13138,12883,12666,12618,12553,12521,12496,12442,12448,12467,12421,12401,12341,12415,12343,12432,12336,12246,12320,12442
les Roquetes,Barri,Resto de la Unión Europea,21,22,22,24,21,32,50,62,83,93,308,393,413,439,422,392,386,409,383,392,404,379,413,433,422,387,405,436,453
les Roquetes,Barri,Resto del mundo,107,133,168,207,493,896,1337,1880,2173,2600,2465,2882,3151,3000,3044,3140,2946,2708,2550,2597,2826,3043,3401,3618,3709,3433,3871,4184,4425
les Roquetes,Barri,No consta,-,-,-,-,-,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Verdun,Barri,España,12795,12688,12489,12212,11805,11556,11266,10979,10719,10457,10320,10301,10185,10188,10178,10202,10101,9960,10161,10104,10059,9991,9830,9826,9768,9678,9686,9908,10086
Verdun,Barri,Resto de la Unión Europea,23,24,24,27,29,43,45,52,60,89,169,210,206,204,186,210,190,220,230,220,236,257,277,303,300,297,311,336,368
Verdun,Barri,Resto del mundo,101,124,136,180,454,830,1075,1288,1409,1625,1610,1893,2002,1919,1938,2035,2045,1939,1834,1937,2073,2197,2471,2669,2797,2583,2777,2950,3057
Verdun,Barri,No consta,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Prosperitat,Barri,España,27757,27729,27055,26571,26110,25761,25202,24525,23941,23563,23156,22822,22697,22575,22530,22430,22373,22440,22595,22656,22540,22350,22398,22275,22015,21777,21673,21870,21998
la Prosperitat,Barri,Resto de la Unión Europea,32,28,33,31,33,58,76,84,131,136,292,398,447,385,347,379,406,368,355,357,379,422,475,518,515,508,531,582,692
la Prosperitat,Barri,Resto del mundo,110,142,188,268,632,1335,1899,2286,2650,3066,3043,3412,3674,3613,3677,3653,3527,3274,3021,3169,3495,3799,3982,4233,4337,4059,4457,4838,5230
la Prosperitat,Barri,No consta,-,-,-,-,-,14,15,7,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Trinitat Nova,Barri,España,7567,7750,7610,7592,7474,7426,7222,7033,6895,6650,6590,6495,6455,6328,6222,6189,6164,6071,6046,5980,5908,5821,5861,5792,5758,5708,5777,5806,5953
la Trinitat Nova,Barri,Resto de la Unión Europea,8,10,9,9,10,20,18,30,35,44,86,91,81,86,89,87,95,108,95,92,101,116,134,135,132,141,127,124,141
la Trinitat Nova,Barri,Resto del mundo,19,25,44,79,170,312,552,840,1039,1264,1363,1494,1597,1463,1388,1348,1296,1211,1194,1187,1262,1428,1625,1742,1738,1572,1720,1796,1871
la Trinitat Nova,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Torre Baró,Barri,España,2343,2368,2296,2217,2124,2080,2073,2051,2048,1973,1937,1940,1952,1957,1953,1934,1969,2132,2302,2348,2359,2371,2382,2350,2322,2319,2335,2440,2532
Torre Baró,Barri,Resto de la Unión Europea,11,11,14,13,15,14,13,10,10,12,23,31,24,23,27,28,28,42,49,57,65,72,82,70,77,82,80,83,89
Torre Baró,Barri,Resto del mundo,14,17,16,22,50,82,126,150,156,174,144,180,189,184,192,207,199,381,383,390,435,450,467,505,524,507,524,596,603
Torre Baró,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ciutat Meridiana,Barri,España,9787,9796,9740,9603,9391,9100,8731,8364,7882,7497,7224,7069,6998,7005,6992,6931,7047,7136,7373,7304,7419,7429,7431,7456,7436,7422,7483,7644,7821
Ciutat Meridiana,Barri,Resto de la Unión Europea,18,11,12,13,23,27,34,43,54,64,128,211,226,220,267,277,205,196,197,187,183,172,190,201,189,182,179,166,168
Ciutat Meridiana,Barri,Resto del mundo,18,28,47,92,208,483,1123,1708,2345,2936,3297,3857,4006,3634,3627,3537,3242,2842,2669,2564,2767,3021,3243,3434,3527,3204,3195,3280,3362
Ciutat Meridiana,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vallbona,Barri,España,712,784,799,801,804,783,853,876,899,1094,1135,1165,1184,1180,1188,1167,1157,1151,1170,1196,1208,1214,1196,1192,1161,1187,1171,1187,1183
Vallbona,Barri,Resto de la Unión Europea,-,5,10,11,10,10,10,10,13,17,23,28,28,38,37,39,40,33,35,26,26,26,32,35,33,34,28,24,25
Vallbona,Barri,Resto del mundo,-,-,-,-,13,38,34,47,65,116,97,124,115,118,118,134,151,126,129,132,145,159,178,193,206,198,221,225,244
Vallbona,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Andreu (Distrito),-,España,133319,133977,133470,132555,131544,132100,131008,130168,129268,128256,127293,126826,126665,126580,127238,127593,127865,128268,129774,130115,130030,129885,129474,128941,127910,127106,126730,127155,127499
Sant Andreu (Distrito),-,Resto de la Unión Europea,215,244,268,303,385,539,736,897,1150,1353,2088,2571,2810,2871,2773,2769,2884,2839,2886,2991,3217,3399,3988,4261,4087,4186,4200,4722,5255
Sant Andreu (Distrito),-,Resto del mundo,1016,1202,1491,1945,3619,6169,9086,10885,12777,14526,14029,16294,17908,17520,17328,17025,16194,14885,13845,13689,14532,15359,16876,18852,19529,18522,20858,23580,24901
Sant Andreu (Distrito),-,No consta,6,8,8,11,10,61,59,24,22,22,19,22,21,17,14,10,6,6,7,5,10,10,15,9,11,12,11,13,19
la Trinitat Vella,Barri,España,7632,7708,7716,7683,7565,7599,7472,7257,7055,6963,6893,6845,6859,6790,6812,6900,6998,7135,7255,7254,7205,7154,7131,7105,7126,7197,7226,7394,7625
la Trinitat Vella,Barri,Resto de la Unión Europea,-,-,-,-,8,10,26,35,53,76,143,235,219,211,234,239,252,240,240,245,255,232,301,310,319,325,291,316,352
la Trinitat Vella,Barri,Resto del mundo,168,192,261,337,550,881,1393,1723,2189,2731,2776,3194,3369,3274,3357,3258,3184,2872,2573,2549,2546,2685,2905,3072,3068,2836,2769,2950,3183
la Trinitat Vella,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Baró de Viver,Barri,España,2291,2345,2342,2351,2354,2363,2334,2301,2300,2302,2287,2279,2278,2222,2244,2227,2210,2226,2226,2249,2247,2211,2233,2233,2226,2207,2191,2188,2182
Baró de Viver,Barri,Resto de la Unión Europea,-,-,-,-,-,-,6,-,5,11,13,19,17,16,18,23,25,28,32,35,35,39,44,44,43,47,41,41,55
Baró de Viver,Barri,Resto del mundo,5,8,12,16,18,26,41,60,77,108,117,160,157,154,149,161,181,225,224,227,257,285,327,348,384,349,350,383,441
Baró de Viver,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
el Bon Pastor,Barri,España,10023,10088,9966,9764,9736,9692,9930,10496,10591,10604,10544,10541,10590,10639,10645,10733,10844,10883,10972,10987,10924,10865,10831,10796,10707,10627,10632,10870,10985
el Bon Pastor,Barri,Resto de la Unión Europea,10,9,8,11,15,18,21,38,63,70,141,215,274,296,308,288,312,308,237,248,237,250,284,289,282,286,280,338,329
el Bon Pastor,Barri,Resto del mundo,27,33,51,72,142,320,642,855,1078,1367,1487,2333,2965,2874,2668,2176,1657,1485,1350,1358,1421,1625,2011,2567,2741,2640,3522,4589,4603
el Bon Pastor,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Andreu (Barrio),-,España,51342,51634,51581,51421,51300,51981,51735,51644,51462,51253,51158,50970,51018,51053,51527,51774,52004,52108,52539,52766,52833,53073,52995,52860,52401,51951,51747,51729,51665
Sant Andreu (Barrio),-,Resto de la Unión Europea,80,98,101,118,154,236,292,368,470,497,754,835,895,881,835,821,843,800,831,841,924,985,1149,1257,1206,1205,1217,1355,1477
Sant Andreu (Barrio),-,Resto del mundo,272,334,365,473,863,1577,2378,2900,3474,3767,3536,3780,3970,3898,3710,3686,3653,3355,3121,3087,3465,3603,3815,4389,4613,4445,4936,5564,5842
Sant Andreu (Barrio),-,No consta,-,-,-,-,-,17,16,5,8,7,-,-,9,6,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-
la Sagrera,Barri,España,27648,27604,27380,27171,26901,26846,26595,26192,25974,25624,25245,25222,25190,25096,25240,25127,25062,25067,25423,25436,25532,25451,25261,25038,24932,24763,24585,24563,24535
la Sagrera,Barri,Resto de la Unión Europea,46,51,60,65,79,106,150,173,209,276,416,504,558,545,501,534,553,545,612,652,694,758,853,891,862,907,983,1102,1212
la Sagrera,Barri,Resto del mundo,310,329,409,556,967,1512,2081,2429,2647,2928,2685,2979,3193,3238,3378,3439,3309,3059,2864,2715,2899,3079,3369,3676,3771,3768,4336,4724,5213
la Sagrera,Barri,No consta,-,-,-,-,-,15,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,5
el Congrés i els Indians,Barri,España,13612,13610,13419,13305,13076,13020,12823,12645,12556,12428,12337,12214,12116,12066,12065,12088,12071,12078,12280,12290,12272,12250,12304,12287,12113,12091,12148,12190,12319
el Congrés i els Indians,Barri,Resto de la Unión Europea,29,34,35,36,43,57,82,96,125,153,269,331,351,385,384,365,350,346,334,351,407,416,485,538,517,532,507,584,649
el Congrés i els Indians,Barri,Resto del mundo,77,100,118,141,261,432,759,962,1149,1324,1244,1449,1593,1501,1547,1653,1607,1499,1432,1410,1459,1527,1766,1901,1919,1694,1966,2169,2203
el Congrés i els Indians,Barri,No consta,-,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Navas,Barri,España,20771,20988,21066,20860,20612,20599,20119,19633,19330,19082,18829,18755,18614,18714,18705,18744,18676,18771,19079,19133,19017,18881,18719,18622,18405,18270,18201,18221,18188
Navas,Barri,Resto de la Unión Europea,47,48,61,68,85,109,159,183,225,270,352,432,496,537,493,499,549,572,600,619,665,719,872,932,858,884,881,986,1181
Navas,Barri,Resto del mundo,157,206,275,350,818,1421,1792,1956,2163,2301,2184,2399,2661,2581,2519,2652,2603,2390,2281,2343,2485,2555,2683,2899,3033,2790,2979,3201,3416
Navas,Barri,No consta,-,-,5,8,6,18,19,13,9,14,15,15,9,7,8,6,6,6,6,-,-,-,5,-,-,-,-,-,5
Sant Martí,Districte,España,201442,203057,202304,200933,199703,201192,200149,197625,196219,194669,193953,193233,193494,194115,195043,195818,195966,196425,198440,198189,196983,195755,194421,192319,190298,188671,187072,186838,186906
Sant Martí,Districte,Resto de la Unión Europea,540,609,731,832,1000,1493,2000,2679,3451,4357,6299,7928,8811,9287,8930,9462,10186,10538,10803,11088,12006,12748,14397,15432,14847,15702,16106,17417,18567
Sant Martí,Districte,Resto del mundo,1721,2152,2720,3354,5895,10385,15457,18480,21742,24339,22667,25147,27558,26809,27094,27436,26867,25686,24397,24870,27025,28470,31120,33787,35992,35055,39535,44914,47631
Sant Martí,Districte,No consta,9,18,19,33,44,117,114,63,80,84,84,81,31,9,11,22,16,16,20,23,25,26,27,40,44,37,39,37,35
el Camp de l'Arpa del Clot,Barri,España,35971,36205,35935,35428,34926,35304,34612,33823,33264,33087,32913,32680,32495,32322,32148,32198,31989,31977,32406,32284,31920,31613,31461,31019,30473,30104,29706,29710,29790
el Camp de l'Arpa del Clot,Barri,Resto de la Unión Europea,115,129,176,159,195,298,378,468,582,756,1070,1289,1407,1404,1254,1297,1383,1470,1587,1664,1832,2027,2337,2521,2451,2568,2634,2841,3101
el Camp de l'Arpa del Clot,Barri,Resto del mundo,446,548,690,785,1463,2510,3540,3976,4630,5042,4588,4801,4930,4622,4548,4670,4603,4348,4172,4179,4489,4682,5110,5587,5905,5528,5998,6503,6907
el Camp de l'Arpa del Clot,Barri,No consta,-,-,-,9,9,13,12,5,10,13,15,16,7,-,-,-,-,-,-,-,6,5,-,9,9,7,5,6,6
el Clot,Barri,España,22679,22907,23176,23563,23873,24410,24261,23956,23858,23618,23550,23506,23555,23543,23499,23397,23291,23285,23363,23287,23176,22953,22798,22392,22049,21673,21573,21416,21342
el Clot,Barri,Resto de la Unión Europea,68,76,95,118,144,194,249,313,365,433,624,801,896,943,872,909,950,1001,1021,1046,1153,1240,1363,1510,1496,1599,1639,1816,1902
el Clot,Barri,Resto del mundo,225,287,391,518,848,1530,2104,2329,2618,2817,2572,2768,3091,3009,2987,3004,2934,2746,2544,2592,2758,2854,3019,3177,3211,3105,3255,3533,3858
el Clot,Barri,No consta,-,-,-,-,-,16,13,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
el Parc i la Llacuna del Poblenou,Barri,España,12058,12057,12004,11930,11652,11511,11402,11239,11053,11032,11020,10882,10885,10898,11060,11294,11523,11688,11808,11856,11905,12002,12055,12101,12028,11954,11959,12079,12209
el Parc i la Llacuna del Poblenou,Barri,Resto de la Unión Europea,54,61,72,86,94,149,221,270,323,438,603,730,859,966,942,1026,1142,1182,1178,1212,1308,1377,1560,1664,1531,1675,1827,1929,2014
el Parc i la Llacuna del Poblenou,Barri,Resto del mundo,222,272,316,399,707,1091,1515,1695,1803,1858,1548,1491,1647,1605,1728,1714,1686,1742,1721,1784,1981,2039,2090,2170,2347,2330,2624,3029,3378
el Parc i la Llacuna del Poblenou,Barri,No consta,-,-,-,5,9,20,21,15,15,13,19,20,9,-,-,-,5,5,6,7,8,7,8,8,8,-,-,-,-
la Vila Olímpica del Poblenou,Barri,España,5772,6157,6406,6676,6807,6960,6967,6959,7200,7302,7398,7500,7547,7651,7698,7664,7764,7773,7826,7871,7846,7747,7647,7568,7476,7395,7253,7181,7086
la Vila Olímpica del Poblenou,Barri,Resto de la Unión Europea,105,116,141,183,222,317,360,451,557,596,697,824,896,932,893,939,960,997,934,909,898,929,1004,1078,1030,1097,1087,1118,1187
